PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
22344,2,22338,2014-07-25T08:37:53.430,1,,9037,,2014-07-25T08:37:53.430,,3,
22356,2,22349,2014-07-26T02:58:04.707,1,,18976,,2014-07-27T18:59:42.620,2014-07-27T18:59:42.620,4,
22367,2,22363,2014-07-27T05:30:08.793,8,,7025,,2014-07-28T01:38:59.807,2014-07-28T01:38:59.807,1,
22497,2,22495,2014-08-01T12:45:17.840,2,,19336,,2014-08-01T12:45:17.840,,1,
22683,2,22490,2014-08-10T11:52:17.050,1,,13281,,2014-08-10T11:52:17.050,,13,
22743,2,22708,2014-08-13T23:40:09.483,19,,18954,,2017-01-10T00:58:35.280,2017-01-10T00:58:35.280,4,
22806,2,22787,2014-08-17T14:18:32.857,1,,7863,,2014-08-17T14:18:32.857,,0,
23211,2,23210,2014-09-09T12:16:59.370,1,,797,,2014-09-09T12:30:09.313,2014-09-09T12:30:09.313,7,
23277,2,1153,2014-09-15T08:26:29.540,8,,13650,,2014-09-15T08:26:29.540,,0,
23352,2,13415,2014-09-18T02:47:35.830,1,,13945,,2014-09-18T02:47:35.830,,0,
23364,2,23361,2014-09-18T12:27:23.397,4,,13650,,2014-09-18T14:33:59.357,2018-12-17T19:02:24.963,3,
23443,2,23442,2014-09-22T12:51:03.793,3,,19949,,2014-09-22T12:51:03.793,,2,
23673,2,23617,2014-10-04T12:15:00.520,1,,20656,,2014-10-04T12:15:00.520,,0,
23767,2,23762,2014-10-08T07:49:37.403,2,,13650,,2014-10-08T07:49:37.403,,0,
23789,2,23777,2014-10-08T23:06:24.993,1,,8697,,2014-10-08T23:06:24.993,,0,
23954,2,23944,2014-10-16T23:03:23.170,0,,7274,,2014-10-16T23:03:23.170,,0,
23995,2,23991,2014-10-19T21:59:26.833,3,,13281,,2014-10-20T10:53:44.483,2014-10-20T10:53:44.483,0,
24235,2,24234,2014-11-01T18:32:36.117,8,,5538,,2014-11-22T18:06:09.690,2014-11-22T18:06:09.690,2,
24256,2,24255,2014-11-01T04:04:57.590,4,,,UncleO,2014-11-01T04:04:57.590,,0,
24257,2,24255,2014-11-01T11:14:17.103,0,,9484,Clifford,2014-11-01T23:14:32.880,,0,
24267,2,24265,2014-11-03T21:28:36.783,2,,622,,2014-11-03T21:28:36.783,,2,
24349,2,24338,2014-11-07T08:07:16.040,4,,13650,,2014-11-07T10:57:51.513,2018-12-17T19:02:24.963,4,
